,Stock,User,Comment,Comment Time
2293,IZENR,İsmil usman,tahtacisi falan varsa sevinmek lazim bence.bir gun belki diye bu 29 ile 31 arasinda mekik dokuyor gibi,4 saat önce
2294,IZENR,Seko Pasa,yo gayet guzel sorun yok. sizinkiler daha zevkli oluyor puhaahha,4 saat önce
2295,IZENR,Baki Teke,vaybe 3.5 cakalin elinde kaldik nasilda oynatiyor,4 saat önce
2296,IZENR,Aytunç Tayfur,harbiden guzel si*ki*yorsun tahtaci. yemin ediyorum katiksiz o.e sin tebrikler. 7 yollu bir araya gelse senin kaliteyi tutturamazlar!! almayin su kagidi ya sizde ne mal adamlarsiniz ya,4 saat önce
2297,IZENR,Baki Teke,gecmis ve gecirmisler olsun seko sana,4 saat önce
2298,IZENR,Baki Teke,diyorum almayin seko patladimi la 29alimim,4 saat önce
2299,IZENR,Aytunç Tayfur,"almayin, aldirmayin!!!",4 saat önce
2300,IZENR,Baki Teke,seko eline simdi verdilermi 29 dan bagirttilarmi uf uf diye,4 saat önce
2301,IZENR,Baki Teke,almayin algililara kanmayin nerden alirsan al asagi basiyolarlar elinde kot varsa cikarken oda cikar ama aldinmi dahada zararar sokuyolarlar dikkat edin algicilar cogaldi,4 saat önce
2302,IZENR,İsmil usman,bende ucuzken al dusuncesinde olanlardanim. bu ne yaptigi belli olmayan hisseden kucuk kucuk aliyorum. batarsa uzulmem cikarsa lort olmam oyle aliyorum .her hisse bir gun cikar herhalde birden baglamaktasa 3 er 5 er aliyorum.,4 saat önce
2303,IZENR,Volkan Ersöz,"sakin almayin , aldirmayin tek amaci yatirimci soymak",4 saat önce
2304,IZENR,Baki Teke,seko serdar semih denen. kisilere inanmayin kanmayin mal pazarlayan deliklerdir,4 saat önce
2305,IZENR,Seko Pasa,toplam bekleyen alis 515 k bekleyen satis 1.3 m. ytd.,4 saat önce
2306,IZENR,Baki Teke,seko burdan git yoksa senin topunu patlatirim kimsenin gunahina girme kaybol pislik,4 saat önce
2307,IZENR,AkıllıBorsa,dun gelen kapin tek sebebi sirketin halka arz taahutlerinr basladigini ve yerine getirecegini gosteriyo. fiyata odaklanmayip sureci takip edelim yasadigimiz buhran cok buyuk ama satip daha sonra pisman olmamak lazim. er ya da gec bilancolar gelicek bu carpanlar dusucek kagit yuruycek. tabi bilancolar duzgun gelirse,4 saat önce
2308,IZENR,Baki Teke,7 ay oldu.,4 saat önce
2309,IZENR,AkıllıBorsa,arkadaslar cok haklisiniz bu yorumlari yapmakta sizin gibi bende aylardir bekliyorum kagitta ama bence forumda bu kadar kotu yorun olmasi da satisi arttiriyo yani elinde kagidi bulan arkadaslar ovmeyin tabi spekilasyon yapmak icin ama daha sabirli bi sekilde bekleyin millete hele hele buralarda hissesini sattirmak bence suan en buyuk hata olur,4 saat önce
2310,IZENR,Baki Teke,bu ramazan ayinda kim varsa hepsinin allah belalarini versin bi amin alalim buna algililarda dahil amin amin amin,4 saat önce
2311,IZENR,mehmet fırat ayatan,8 senedir borsadayim gordugum en rezalet kagit olabilir.,4 saat önce
2312,IZENR,Baki Teke,seko sen hangi delikden buraya geldin,4 saat önce
2313,IZENR,Serkan Akıncı,70 tl seviyelerinde bu kagidi almistim 35 seviyelerinden sattim baska bir hisse aldim zararim buyuk oranda cikti bu hisseyi hala takip ediyorum kafasini kaldirdigi an girecegim alacagim var senden izenerji,4 saat önce
2314,IZENR,DELİDUMRUL06,burda umut asilayanin .................................................................................................................................................,4 saat önce
2315,IZENR,Seko Pasa,29.88 den birisi guzel toplamis acaba kimmm almayin almayin diyenler almayanin malini alirlar boyle..,4 saat önce
2316,IZENR,Jack Mctorrado,"dolar kuruna gore suanda halka arzdaki iskontosuz fiyatinda, 3 saatlik destek ustunde.",5 saat önce
2317,IZENR,FATİH SİVAS,bu kagittan 1 seneden evvel bi juk olmaz,5 saat önce
